route_id,route_seq,vehicle_id,vehicle_type_id,energy_type,departure_min,departure_time,return_to_depot_min,return_to_depot_time,stop_count,service_unit_count,customer_sequence,service_unit_ids,total_weight,total_volume,distance_km,route_total_cost_with_startup,energy_cost,carbon_cost,waiting_cost,late_cost,feasible,violations
S0018,18,T4_003,4,新能源,1350,22:30:00,1746.566095,05:06:34,2,5,50->19,"[""C050_S008_OF_011"", ""C050_S009_OF_011"", ""C050_S010_OF_011"", ""C050_S011_OF_011"", ""C019_S001_OF_001""]",2901.121327,7.934462,210.373996,969.940783,129.45086,25.704678,0.0,414.785245,True,[]
S0019,19,T4_008,4,新能源,855,14:15:00,1296.21839,21:36:13,4,5,57->89->5->10,"[""C057_S004_OF_009"", ""C089_S001_OF_001"", ""C005_S001_OF_001"", ""C010_S001_OF_006"", ""C010_S002_OF_006""]",2765.582722,9.317579,190.492634,569.050493,125.052169,24.831243,18.914293,0.252789,True,[]
S0020,20,T4_008,4,新能源,1320,22:00:00,1506.571697,01:06:34,1,4,10,"[""C010_S003_OF_006"", ""C010_S004_OF_006"", ""C010_S005_OF_006"", ""C010_S006_OF_006""]",2506.656667,9.704993,98.277301,619.850748,62.251452,12.361089,0.0,145.238207,True,[]
S0021,21,T4_006,4,新能源,790,13:10:00,985.510085,16:25:31,2,3,3->6,"[""C003_S001_OF_001"", ""C006_S001_OF_006"", ""C006_S002_OF_006""]",1726.2325,4.69788,113.418648,585.591246,70.925892,14.083547,2.555231,98.026576,True,[]
S0022,22,T4_008,4,新能源,626,10:26:00,814.809694,13:34:49,1,4,6,"[""C006_S003_OF_006"", ""C006_S004_OF_006"", ""C006_S005_OF_006"", ""C006_S006_OF_006""]",2982.4288,7.9888,81.276268,463.641859,53.098288,10.543572,0.0,0.0,True,[]
S0023,23,T4_007,4,新能源,583,09:43:00,833.618543,13:53:37,1,4,42,"[""C042_S001_OF_009"", ""C042_S002_OF_009"", ""C042_S003_OF_009"", ""C042_S004_OF_009""]",2825.134568,6.834316,125.136366,497.111002,81.022585,16.088417,0.0,0.0,True,[]
S0024,24,T4_009,4,新能源,583,09:43:00,833.618543,13:53:37,1,4,42,"[""C042_S005_OF_009"", ""C042_S006_OF_009"", ""C042_S007_OF_009"", ""C042_S008_OF_009""]",2825.134568,6.834316,125.136366,497.111002,81.022585,16.088417,0.0,0.0,True,[]
S0025,25,T4_009,4,新能源,840,14:00:00,1105.866131,18:25:52,2,4,42->52,"[""C042_S009_OF_009"", ""C052_S001_OF_009"", ""C052_S002_OF_009"", ""C052_S003_OF_009""]",2947.422976,7.4421,153.161017,708.926717,96.916497,19.244425,0.0,192.765795,True,[]
S0026,26,T4_009,4,新能源,1110,18:30:00,1431.992451,23:52:00,1,4,52,"[""C052_S004_OF_009"", ""C052_S005_OF_009"", ""C052_S006_OF_009"", ""C052_S007_OF_009""]",2988.185779,7.644695,178.175546,762.750099,115.626886,22.959692,0.0,224.163521,True,[]
S0027,27,T4_010,4,新能源,669,11:09:00,1223.888128,20:23:53,5,6,95->33->52->26->27,"[""C095_S001_OF_001"", ""C033_S001_OF_001"", ""C052_S008_OF_009"", ""C052_S009_OF_009"", ""C026_S001_OF_001"", ""C027_S001_OF_005""]",2823.243509,7.16377,227.901362,751.670246,151.081596,29.99983,19.881867,150.706952,True,[]
S0028,28,T4_010,4,新能源,1230,20:30:00,1515.776257,01:15:47,1,4,27,"[""C027_S002_OF_005"", ""C027_S003_OF_005"", ""C027_S004_OF_005"", ""C027_S005_OF_005""]",2586.88328,6.111768,156.807991,699.442125,99.731883,19.803468,0.0,179.906774,True,[]
S0029,29,T1_001,1,燃油,580,09:40:00,917.244229,15:17:15,3,5,93->35->61,"[""C093_S001_OF_001"", ""C035_S001_OF_003"", ""C035_S002_OF_003"", ""C035_S003_OF_003"", ""C061_S001_OF_009""]",2458.5042,6.30733,155.875375,975.47963,365.496709,79.513545,3.874938,126.594438,True,[]
S0030,30,T4_003,4,新能源,870,14:30:00,1066.096598,17:46:06,1,4,61,"[""C061_S002_OF_009"", ""C061_S003_OF_009"", ""C061_S004_OF_009"", ""C061_S005_OF_009""]",2672.918,8.3552,113.846993,592.776905,72.806515,14.456977,0.0,105.513413,True,[]
S0031,31,T1_001,1,燃油,930,15:30:00,1142.961004,19:02:58,1,4,61,"[""C061_S006_OF_009"", ""C061_S007_OF_009"", ""C061_S008_OF_009"", ""C061_S009_OF_009""]",2672.918,8.3552,113.846993,890.734534,263.78189,57.385559,0.0,169.567085,True,[]
S0032,32,T1_002,1,燃油,916,15:16:00,1253.924383,20:53:55,3,5,91->54->44,"[""C091_S001_OF_001"", ""C054_S001_OF_010"", ""C054_S002_OF_010"", ""C054_S003_OF_010"", ""C044_S002_OF_007""]",2946.948527,7.953472,163.800206,900.097423,378.94198,82.438554,0.098972,38.617918,True,[]
S0033,33,T1_001,1,燃油,1170,19:30:00,1515.781274,01:15:47,1,4,54,"[""C054_S004_OF_010"", ""C054_S005_OF_010"", ""C054_S006_OF_010"", ""C054_S007_OF_010""]",2968.244913,7.869168,192.210952,1125.372348,452.792201,98.504616,0.0,174.075531,True,[]
S0034,34,T1_003,1,燃油,960,16:00:00,1367.019958,22:47:01,2,4,54->77,"[""C054_S008_OF_010"", ""C054_S009_OF_010"", ""C054_S010_OF_010"", ""C077_S001_OF_003""]",2882.272618,7.600816,216.541775,1007.778259,499.181652,108.596608,0.0,0.0,True,[]
S0035,35,T1_004,1,燃油,939,15:39:00,1387.339497,23:07:20,2,4,77->70,"[""C077_S002_OF_003"", ""C077_S003_OF_003"", ""C070_S001_OF_008"", ""C070_S002_OF_008""]",2730.840617,7.489313,240.920303,1420.691458,558.695995,121.54391,0.0,340.451553,True,[]
S0036,36,T1_002,1,燃油,520,08:40:00,911.49357,15:11:30,1,4,70,"[""C070_S003_OF_008"", ""C070_S004_OF_008"", ""C070_S005_OF_008"", ""C070_S006_OF_008""]",2837.3255,8.182865,240.481206,1081.328537,559.590112,121.738425,0.0,0.0,True,[]
S0037,37,T1_005,1,燃油,532,08:52:00,1014.561608,16:54:34,2,4,70->39,"[""C070_S007_OF_008"", ""C070_S008_OF_008"", ""C039_S001_OF_006"", ""C039_S002_OF_006""]",2760.293283,7.427156,220.304791,1056.788309,521.435932,113.43801,21.914367,0.0,True,[]
S0038,38,T1_005,1,燃油,1020,17:00:00,1422.266796,23:42:16,2,5,39->98,"[""C039_S003_OF_006"", ""C039_S004_OF_006"", ""C039_S005_OF_006"", ""C039_S006_OF_006"", ""C098_S001_OF_001""]",2708.761067,6.736047,213.737409,1232.92577,489.344065,106.456448,0.0,237.125257,True,[]
S0039,39,T1_003,1,燃油,555,09:15:00,843.791009,14:03:47,2,5,87->46,"[""C087_S001_OF_001"", ""C046_S001_OF_005"", ""C046_S002_OF_005"", ""C046_S003_OF_005"", ""C046_S004_OF_005""]",2836.16276,9.174026,161.338276,870.127532,386.126082,84.00145,0.0,0.0,True,[]
S0040,40,T1_006,1,燃油,580,09:40:00,1336.932598,22:16:56,3,5,46->32->78,"[""C046_S005_OF_005"", ""C032_S001_OF_001"", ""C078_S001_OF_003"", ""C078_S002_OF_003"", ""C078_S003_OF_003""]",2988.69314,8.026664,173.090902,1032.519316,409.605663,89.109416,133.804237,0.0,True,[]
S0041,41,T1_004,1,燃油,670,11:10:00,906.350029,15:06:21,2,3,97->76,"[""C097_S001_OF_001"", ""C076_S001_OF_002"", ""C076_S002_OF_002""]",1273.7817,4.108259,101.742641,854.050618,222.884143,48.488284,0.809117,181.869074,True,[]
S0042,42,T1_007,1,燃油,563,09:23:00,821.027514,13:41:02,2,5,85->79,"[""C085_S001_OF_001"", ""C079_S001_OF_004"", ""C079_S002_OF_004"", ""C079_S003_OF_004"", ""C079_S004_OF_004""]",2908.9603,8.78747,116.115359,718.316536,261.440372,56.876164,0.0,0.0,True,[]
S0043,43,T1_007,1,燃油,949,15:49:00,1147.334069,19:07:20,1,4,31,"[""C031_S001_OF_010"", ""C031_S002_OF_010"", ""C031_S003_OF_010"", ""C031_S004_OF_010""]",2708.64832,6.178108,105.2171,697.42224,244.279427,53.142813,0.0,0.0,True,[]
S0044,44,T1_007,1,燃油,1170,19:30:00,1368.334069,22:48:20,1,4,31,"[""C031_S005_OF_010"", ""C031_S006_OF_010"", ""C031_S007_OF_010"", ""C031_S008_OF_010""]",2708.64832,6.178108,105.2171,858.394769,244.279427,53.142813,0.0,160.972529,True,[]
S0045,45,T1_008,1,燃油,942,15:42:00,1238.184617,20:38:11,3,4,44->31->34,"[""C044_S001_OF_007"", ""C031_S009_OF_010"", ""C031_S010_OF_010"", ""C034_S001_OF_001""]",2368.703803,6.27073,117.829234,742.883155,268.76617,58.469886,12.158017,3.489082,True,[]
S0046,46,T1_009,1,燃油,928,15:28:00,1171.342956,19:31:21,2,4,81->82,"[""C081_S001_OF_002"", ""C081_S002_OF_002"", ""C082_S001_OF_002"", ""C082_S002_OF_002""]",2836.6943,8.32079,119.972344,964.080532,279.59218,60.825077,0.0,223.663275,True,[]
S0047,47,T4_006,4,新能源,540,09:00:00,783.012149,13:03:01,2,5,66->16,"[""C066_S001_OF_004"", ""C066_S002_OF_004"", ""C066_S003_OF_004"", ""C066_S004_OF_004"", ""C016_S001_OF_001""]",2902.455214,8.8727,99.638684,477.40395,64.580408,12.823543,0.0,0.0,True,[]
S0048,48,T1_009,1,燃油,1200,20:00:00,1350.808602,22:30:49,1,4,43,"[""C043_S001_OF_007"", ""C043_S002_OF_007"", ""C043_S003_OF_007"", ""C043_S004_OF_007""]",2892.331829,7.781074,77.177075,760.759943,181.038279,39.384747,0.0,140.336918,True,[]
S0049,49,T1_010,1,燃油,947,15:47:00,1131.38655,18:51:23,2,4,43->45,"[""C043_S005_OF_007"", ""C043_S006_OF_007"", ""C043_S007_OF_007"", ""C045_S001_OF_008""]",2894.239571,8.137477,84.836602,676.216613,196.860378,42.826833,0.198566,36.330836,True,[]
S0050,50,T4_004,4,新能源,877,14:37:00,1028.789547,17:08:47,1,4,45,"[""C045_S002_OF_008"", ""C045_S003_OF_008"", ""C045_S004_OF_008"", ""C045_S005_OF_008""]",2899.9628,9.206685,84.711666,466.05816,54.797281,10.880936,0.379944,0.0,True,[]
S0051,51,T1_010,1,燃油,1137,18:57:00,1361.007097,22:41:00,2,4,45->28,"[""C045_S006_OF_008"", ""C045_S007_OF_008"", ""C045_S008_OF_008"", ""C028_S001_OF_005""]",2826.4344,8.497074,108.564187,878.262939,245.72614,53.457544,0.0,179.079255,True,[]
S0052,52,T1_008,1,燃油,1260,21:00:00,1487.803077,00:47:48,1,4,28,"[""C028_S002_OF_005"", ""C028_S003_OF_005"", ""C028_S004_OF_005"", ""C028_S005_OF_005""]",2605.8492,6.36824,122.603815,851.976204,282.993274,61.564982,0.0,107.417949,True,[]
S0053,53,T1_002,1,燃油,1260,21:00:00,1452.725904,00:12:44,1,4,67,"[""C067_S001_OF_004"", ""C067_S002_OF_004"", ""C067_S003_OF_004"", ""C067_S004_OF_004""]",2875.596326,8.92494,101.908284,799.420608,238.827964,51.956851,0.0,108.635793,True,[]
S0054,54,T1_011,1,燃油,780,13:00:00,1021.314103,17:01:19,2,5,94->56,"[""C094_S001_OF_001"", ""C056_S001_OF_010"", ""C056_S002_OF_010"", ""C056_S003_OF_010"", ""C056_S004_OF_010""]",2835.25036,7.109718,145.308654,801.399896,329.678563,71.721333,0.0,0.0,True,[]
S0055,55,T1_012,1,燃油,780,13:00:00,1012.567736,16:52:34,2,4,56->57,"[""C056_S005_OF_010"", ""C056_S006_OF_010"", ""C056_S007_OF_010"", ""C057_S003_OF_009""]",2853.954159,7.198218,146.781631,826.687222,350.4476,76.239622,0.0,0.0,True,[]
S0056,56,T1_013,1,燃油,780,13:00:00,1045.549456,17:25:33,2,4,56->75,"[""C056_S008_OF_010"", ""C056_S009_OF_010"", ""C056_S010_OF_010"", ""C075_S001_OF_005""]",2723.03639,6.89033,166.240846,864.857847,381.797974,83.059873,0.0,0.0,True,[]
S0057,57,T1_012,1,燃油,1020,17:00:00,1272.105568,21:12:06,1,4,75,"[""C075_S002_OF_005"", ""C075_S003_OF_005"", ""C075_S004_OF_005"", ""C075_S005_OF_005""]",2413.95248,6.286016,136.942285,939.87011,312.643984,68.015473,0.0,159.210653,True,[]
S0059,58,T1_011,1,燃油,1049,17:29:00,1226.165763,20:26:10,1,4,44,"[""C044_S004_OF_007"", ""C044_S005_OF_007"", ""C044_S006_OF_007"", ""C044_S007_OF_007""]",2601.319371,6.642303,92.7278,676.015218,213.978595,46.550889,0.0,15.485735,True,[]
S0060,59,T1_013,1,燃油,1050,17:30:00,1270.746106,21:10:45,1,4,58,"[""C058_S001_OF_004"", ""C058_S002_OF_004"", ""C058_S003_OF_004"", ""C058_S004_OF_004""]",2933.964,9.925128,118.440203,928.537994,278.477804,60.582645,0.0,189.477544,True,[]
S0061,60,T1_010,1,燃油,789,13:09:00,933.732902,15:33:44,1,4,64,"[""C064_S001_OF_012"", ""C064_S002_OF_012"", ""C064_S003_OF_012"", ""C064_S004_OF_012""]",2949.9224,7.181253,96.948158,675.173305,223.9783,48.726317,2.468688,0.0,True,[]
S0062,61,T1_008,1,燃油,789,13:09:00,933.732902,15:33:44,1,4,64,"[""C064_S005_OF_012"", ""C064_S006_OF_012"", ""C064_S007_OF_012"", ""C064_S008_OF_012""]",2949.9224,7.181253,96.948158,675.173305,223.9783,48.726317,2.468688,0.0,True,[]
S0063,62,T1_014,1,燃油,800,13:20:00,939.34716,15:39:21,1,4,64,"[""C064_S009_OF_012"", ""C064_S010_OF_012"", ""C064_S011_OF_012"", ""C064_S012_OF_012""]",2949.9224,7.181253,96.948158,672.8796,224.122017,48.757583,0.0,0.0,True,[]
S0064,63,T1_015,1,燃油,561,09:21:00,1034.96026,17:14:58,3,5,37->12->11,"[""C037_S001_OF_001"", ""C012_S001_OF_003"", ""C012_S002_OF_003"", ""C012_S003_OF_003"", ""C011_S001_OF_002""]",2954.55565,8.563304,179.435114,1085.854982,439.202044,95.548087,28.021015,123.083836,True,[]
S0065,64,T1_009,1,燃油,594,09:54:00,814.480188,13:34:29,2,4,11->8,"[""C011_S002_OF_002"", ""C008_S001_OF_016"", ""C008_S002_OF_016"", ""C008_S003_OF_016""]",2875.570512,8.936646,97.492438,730.721883,240.279844,52.272706,0.371075,37.798258,True,[]
S0066,65,T1_014,1,燃油,600,10:00:00,790.909472,13:10:55,1,4,8,"[""C008_S004_OF_016"", ""C008_S005_OF_016"", ""C008_S006_OF_016"", ""C008_S007_OF_016""]",2950.407282,9.006755,66.054897,593.703727,159.093131,34.610596,0.0,0.0,True,[]
S0067,66,T1_010,1,燃油,589,09:49:00,786.442078,13:06:27,1,4,8,"[""C008_S008_OF_016"", ""C008_S009_OF_016"", ""C008_S010_OF_016"", ""C008_S011_OF_016""]",2950.407282,9.006755,66.054897,596.576611,158.65886,34.51612,3.40163,0.0,True,[]
S0068,67,T1_008,1,燃油,589,09:49:00,786.442078,13:06:27,1,4,8,"[""C008_S012_OF_016"", ""C008_S013_OF_016"", ""C008_S014_OF_016"", ""C008_S015_OF_016""]",2950.407282,9.006755,66.054897,596.576611,158.65886,34.51612,3.40163,0.0,True,[]
S0069,68,T1_016,1,燃油,605,10:05:00,811.458932,13:31:28,2,4,8->9,"[""C008_S016_OF_016"", ""C009_S001_OF_004"", ""C009_S002_OF_004"", ""C009_S003_OF_004""]",2648.41427,7.239729,78.772938,622.110725,182.424424,39.686302,0.0,0.0,True,[]
S0070,69,T1_016,1,燃油,840,14:00:00,1046.641817,17:26:39,3,4,9->13->48,"[""C009_S004_OF_004"", ""C013_S001_OF_001"", ""C048_S001_OF_012"", ""C048_S002_OF_012""]",2610.14555,6.583443,87.395952,919.842592,202.16672,43.981224,7.72409,265.970558,True,[]
S0071,70,T1_014,1,燃油,960,16:00:00,1101.283635,18:21:17,1,4,48,"[""C048_S003_OF_012"", ""C048_S004_OF_012"", ""C048_S005_OF_012"", ""C048_S006_OF_012""]",2866.242533,7.283166,71.557345,604.074687,167.611029,36.463658,0.0,0.0,True,[]
S0072,71,T1_015,1,燃油,1048,17:28:00,1189.283635,19:49:17,1,4,48,"[""C048_S007_OF_012"", ""C048_S008_OF_012"", ""C048_S009_OF_012"", ""C048_S010_OF_012""]",2866.242533,7.283166,71.557345,654.609535,167.611029,36.463658,0.0,50.534848,True,[]
S0073,72,T1_016,1,燃油,1048,17:28:00,1214.819763,20:14:49,2,4,48->25,"[""C048_S011_OF_012"", ""C048_S012_OF_012"", ""C025_S001_OF_004"", ""C025_S002_OF_004""]",2697.188817,6.310778,74.82366,736.499196,174.206401,37.898477,0.0,124.394318,True,[]
S0074,73,T1_014,1,燃油,1110,18:30:00,1259.753861,20:59:45,2,5,25->92,"[""C025_S003_OF_004"", ""C025_S004_OF_004"", ""C092_S001_OF_003"", ""C092_S002_OF_003"", ""C092_S003_OF_003""]",2788.58005,6.489645,64.754778,892.761452,157.423426,34.247352,0.0,301.090674,True,[]
S0075,74,T1_015,1,燃油,1195,19:55:00,1271.034928,21:11:02,1,4,47,"[""C047_S001_OF_004"", ""C047_S002_OF_004"", ""C047_S003_OF_004"", ""C047_S004_OF_004""]",2791.514978,8.09606,33.060607,517.239209,77.115008,16.776314,0.0,23.347887,True,[]
S0076,75,T4_001,4,新能源,587,09:47:00,715.077464,11:55:05,2,5,88->60,"[""C088_S001_OF_001"", ""C060_S001_OF_014"", ""C060_S002_OF_014"", ""C060_S003_OF_014"", ""C060_S004_OF_014""]",2910.066186,7.971077,45.577652,436.39274,30.36354,6.029199,0.0,0.0,True,[]
S0077,76,T4_002,4,新能源,600,10:00:00,682.285056,11:22:17,1,4,60,"[""C060_S005_OF_014"", ""C060_S006_OF_014"", ""C060_S007_OF_014"", ""C060_S008_OF_014""]",2830.465486,7.433597,36.748183,428.359135,23.660866,4.698269,0.0,0.0,True,[]
S0078,77,T1_011,1,燃油,600,10:00:00,682.285056,11:22:17,1,4,60,"[""C060_S009_OF_014"", ""C060_S010_OF_014"", ""C060_S011_OF_014"", ""C060_S012_OF_014""]",2830.465486,7.433597,36.748183,504.592429,85.904062,18.688367,0.0,0.0,True,[]
S0079,78,T1_017,1,燃油,660,11:00:00,1119.582882,18:39:35,3,5,60->83->44,"[""C060_S013_OF_014"", ""C060_S014_OF_014"", ""C083_S001_OF_002"", ""C083_S002_OF_002"", ""C044_S003_OF_007""]",2992.403486,8.170534,133.138185,807.211992,292.431126,63.61818,51.162686,0.0,True,[]
S0080,79,T4_005,4,新能源,870,14:30:00,936.50215,15:36:30,1,4,49,"[""C049_S001_OF_006"", ""C049_S002_OF_006"", ""C049_S003_OF_006"", ""C049_S004_OF_006""]",2991.224,9.025967,33.455913,464.545923,21.76587,4.321985,0.0,38.458068,True,[]
S0081,80,T1_007,1,燃油,824,13:44:00,947.988912,15:47:59,2,4,49->57,"[""C049_S005_OF_006"", ""C049_S006_OF_006"", ""C057_S001_OF_009"", ""C057_S002_OF_009""]",2964.423778,8.271768,58.114506,559.552306,129.937679,28.267848,1.222044,0.124734,True,[]
S0083,81,T1_003,1,燃油,848,14:08:00,951.833052,15:51:50,1,4,57,"[""C057_S006_OF_009"", ""C057_S007_OF_009"", ""C057_S008_OF_009"", ""C057_S009_OF_009""]",2937.623556,7.517569,60.313583,570.478738,140.017937,30.460801,0.0,0.0,True,[]
S0084,82,T1_018,1,燃油,662,11:02:00,1134.107835,18:54:06,3,4,30->86->53,"[""C030_S001_OF_001"", ""C086_S001_OF_001"", ""C053_S001_OF_010"", ""C053_S002_OF_010""]",2260.51618,7.332108,54.435363,707.671894,126.80837,27.587069,95.890595,57.38586,True,[]
S0085,83,T1_017,1,燃油,1132,18:52:00,1222.21567,20:22:13,1,4,53,"[""C053_S003_OF_010"", ""C053_S004_OF_010"", ""C053_S005_OF_010"", ""C053_S006_OF_010""]",2785.53836,7.503496,41.427245,546.869377,96.598019,21.014829,0.0,29.256529,True,[]
S0086,84,T1_018,1,燃油,1140,19:00:00,1310.122466,21:50:07,2,5,53->2,"[""C053_S007_OF_010"", ""C053_S008_OF_010"", ""C053_S009_OF_010"", ""C053_S010_OF_010"", ""C002_S001_OF_001""]",2800.42836,7.546666,76.772255,718.628742,166.256478,36.168977,0.0,116.203287,True,[]
S0087,85,T1_019,1,燃油,780,13:00:00,954.642013,15:54:39,1,4,7,"[""C007_S001_OF_010"", ""C007_S002_OF_010"", ""C007_S003_OF_010"", ""C007_S004_OF_010""]",2985.29312,7.405757,124.405454,750.979828,288.267452,62.712376,0.0,0.0,True,[]
S0088,86,T1_019,1,燃油,960,16:00:00,1190.856702,19:50:51,1,4,7,"[""C007_S005_OF_010"", ""C007_S006_OF_010"", ""C007_S007_OF_010"", ""C007_S008_OF_010""]",2985.29312,7.405757,124.405454,938.346859,293.340543,63.816023,0.0,181.190292,True,[]
S0089,87,T1_019,1,燃油,1200,20:00:00,1415.967447,23:35:58,2,4,7->4,"[""C007_S009_OF_010"", ""C007_S010_OF_010"", ""C004_S001_OF_002"", ""C004_S002_OF_002""]",2936.20866,7.248649,103.820794,1174.117827,254.55306,55.377834,0.0,464.186933,True,[]
S0090,88,T1_020,1,燃油,580,09:40:00,1184.27823,19:44:17,2,4,38->40,"[""C038_S001_OF_002"", ""C038_S002_OF_002"", ""C040_S001_OF_004"", ""C040_S002_OF_004""]",2607.3005,8.04262,128.859974,879.592066,303.186037,65.957903,110.448125,0.0,True,[]
S0091,89,T1_020,1,燃油,1200,20:00:00,1447.742344,00:07:45,2,4,40->36,"[""C040_S003_OF_004"", ""C040_S004_OF_004"", ""C036_S001_OF_005"", ""C036_S002_OF_005""]",2669.26978,8.098454,122.567983,1162.886542,283.565883,61.689553,0.0,417.631106,True,[]
S0092,90,T1_021,1,燃油,891,14:51:00,1110.815729,18:30:49,2,4,36->24,"[""C036_S003_OF_005"", ""C036_S004_OF_005"", ""C036_S005_OF_005"", ""C024_S001_OF_002""]",2616.63647,7.662651,108.92019,707.854608,252.775331,54.991091,0.088186,0.0,True,[]
S0093,91,T1_021,1,燃油,1114,18:34:00,1351.942827,22:31:57,3,4,24->80->51,"[""C024_S002_OF_002"", ""C080_S001_OF_001"", ""C051_S001_OF_005"", ""C051_S002_OF_005""]",2529.564237,7.284599,104.986268,996.292839,245.375829,53.381334,0.0,297.535676,True,[]
