vehicle_id,vehicle_type_id,energy_type,max_weight,max_volume,route_count,first_depart_min,first_depart_time,last_return_min,last_return_time,total_distance_km,total_energy_cost,total_carbon_cost,total_waiting_cost,total_late_cost,startup_cost,route_ids
T1_036,1,燃油,3000.0,13.5,1,990,16:30:00,1233.875614,20:33:53,132.086612,309.456312,67.321997,0.0,0.0,400.0,"[""S0009""]"
T1_037,1,燃油,3000.0,13.5,1,990,16:30:00,1233.875614,20:33:53,132.086612,309.456312,67.321997,0.0,0.0,400.0,"[""S0010""]"
T1_038,1,燃油,3000.0,13.5,1,990,16:30:00,1233.875614,20:33:53,132.086612,309.456312,67.321997,0.0,0.0,400.0,"[""S0011""]"
T1_039,1,燃油,3000.0,13.5,1,990,16:30:00,1220.643769,20:20:39,112.479823,257.271386,55.969204,0.0,0.0,400.0,"[""S0094""]"
T4_001,4,新能源,3000.0,15.0,2,520,08:40:00,1290.901538,21:30:54,349.045393,223.67296,44.414085,47.631481,0.0,400.0,"[""S0036"", ""S0051""]"
T4_002,4,新能源,3000.0,15.0,2,532,08:52:00,1214.122466,20:14:07,297.077047,190.220939,37.771615,21.914367,0.280091,400.0,"[""S0037"", ""S0086""]"
T4_003,4,新能源,3000.0,15.0,2,540,09:00:00,1359.932611,22:39:56,356.215849,224.05201,44.489352,43.423455,0.0,400.0,"[""S0047"", ""S0038""]"
T4_004,4,新能源,3000.0,15.0,2,555,09:15:00,1110.815729,18:30:49,270.258466,177.008041,35.147969,0.088186,0.0,400.0,"[""S0039"", ""S0092""]"
T4_005,4,新能源,3000.0,15.0,2,561,09:21:00,1242.725904,20:42:44,281.343398,186.405158,37.013927,28.021015,123.083836,400.0,"[""S0064"", ""S0053""]"
T4_006,4,新能源,3000.0,15.0,3,563,09:23:00,1307.803077,21:47:48,333.078914,211.81312,42.059111,0.050921,0.0,400.0,"[""S0042"", ""S0097"", ""S0052""]"
T4_007,4,新能源,3000.0,15.0,3,569,09:29:00,1381.836077,23:01:50,385.649504,248.421205,49.328272,0.0,0.0,400.0,"[""S0012"", ""S0050"", ""S0016""]"
T4_008,4,新能源,3000.0,15.0,3,569,09:29:00,1265.682568,21:05:41,333.464612,216.224419,42.93505,0.0,0.0,400.0,"[""S0013"", ""S0071"", ""S0004""]"
T4_009,4,新能源,3000.0,15.0,3,569,09:29:00,1265.682568,21:05:41,333.464612,216.224419,42.93505,0.0,0.0,400.0,"[""S0014"", ""S0072"", ""S0005""]"
T4_010,4,新能源,3000.0,15.0,2,575,09:35:00,1283.285848,21:23:17,306.877503,193.600682,38.442721,26.86184,0.0,400.0,"[""S0055"", ""S0099""]"
